Tiempo	ya	va	ve	ye
5.229999999999933	418.27079000000276	-41.253999999999344	-41.2539999999998	418.0145200000001
5.239999999999933	417.85776000000277	-41.35199999999934	-41.3519999999998	417.6010000000001
5.2499999999999325	417.44375000000275	-41.44999999999934	-41.4499999999998	417.18650000000014
5.259999999999932	417.0287600000028	-41.54799999999934	-41.547999999999796	416.77102000000014
5.269999999999932	416.6127900000028	-41.64599999999934	-41.645999999999795	416.35456000000016
5.279999999999932	416.1958400000028	-41.74399999999934	-41.743999999999794	415.93712000000016
5.289999999999932	415.77791000000286	-41.84199999999933	-41.84199999999979	415.51870000000014
5.299999999999931	415.3590000000029	-41.93999999999933	-41.93999999999979	415.09930000000014
5.309999999999931	414.93911000000287	-42.03799999999933	-42.03799999999979	414.6789200000001
5.319999999999931	414.5182400000029	-42.13599999999933	-42.13599999999979	414.2575600000001
5.329999999999931	414.0963900000029	-42.23399999999933	-42.23399999999979	413.8352200000001
5.339999999999931	413.6735600000029	-42.331999999999326	-42.33199999999979	413.4119000000001
5.34999999999993	413.24975000000296	-42.429999999999325	-42.42999999999979	412.9876000000001
5.35999999999993	412.82496000000293	-42.52799999999932	-42.527999999999786	412.5623200000001
5.36999999999993	412.399190000003	-42.625999999999316	-42.625999999999785	412.1360600000001
5.37999999999993	411.97244000000296	-42.723999999999315	-42.72399999999978	411.7088200000001
5.3899999999999295	411.544710000003	-42.82199999999931	-42.82199999999978	411.2806000000001
5.399999999999929	411.11600000000305	-42.91999999999931	-42.91999999999978	410.8514000000001
5.409999999999929	410.686310000003	-43.01799999999931	-43.01799999999978	410.4212200000001
5.419999999999929	410.25564000000304	-43.1159999999993	-43.11599999999978	409.99006000000014
5.429999999999929	409.82399000000305	-43.2139999999993	-43.21399999999978	409.55792000000014
5.4399999999999284	409.3913600000031	-43.3119999999993	-43.31199999999978	409.12480000000016
5.449999999999928	408.9577500000031	-43.4099999999993	-43.409999999999776	408.69070000000016
5.459999999999928	408.52316000000314	-43.5079999999993	-43.507999999999775	408.2556200000002
5.469999999999928	408.08759000000316	-43.6059999999993	-43.605999999999774	407.8195600000002
5.479999999999928	407.65104000000315	-43.7039999999993	-43.70399999999977	407.38252000000017
5.489999999999927	407.21351000000317	-43.80199999999929	-43.80199999999977	406.9445000000002
5.499999999999927	406.7750000000032	-43.89999999999929	-43.89999999999977	406.50550000000015
5.509999999999927	406.3355100000032	-43.99799999999929	-43.99799999999977	406.06552000000016
5.519999999999927	405.89504000000323	-44.095999999999286	-44.09599999999977	405.62456000000014
5.5299999999999265	405.45359000000326	-44.193999999999285	-44.19399999999977	405.18262000000016
5.539999999999926	405.01116000000326	-44.291999999999284	-44.29199999999977	404.73970000000014
5.549999999999926	404.56775000000323	-44.38999999999928	-44.389999999999766	404.29580000000016
5.559999999999926	404.1233600000033	-44.487999999999275	-44.487999999999765	403.85092000000014
5.569999999999926	403.6779900000033	-44.585999999999274	-44.585999999999764	403.40506000000016
5.5799999999999255	403.2316400000033	-44.68399999999927	-44.68399999999976	402.95822000000015
5.589999999999925	402.7843100000033	-44.78199999999927	-44.78199999999976	402.5104000000002
5.599999999999925	402.33600000000337	-44.87999999999927	-44.87999999999976	402.06160000000017
5.609999999999925	401.8867100000034	-44.97799999999927	-44.97799999999976	401.6118200000002
5.619999999999925	401.43644000000336	-45.07599999999927	-45.07599999999976	401.1610600000002
5.629999999999924	400.9851900000034	-45.17399999999926	-45.17399999999976	400.7093200000002
5.639999999999924	400.5329600000034	-45.27199999999926	-45.27199999999976	400.2566000000002
5.649999999999924	400.0797500000034	-45.36999999999926	-45.369999999999756	399.80290000000025
5.659999999999924	399.6255600000035	-45.46799999999926	-45.467999999999755	399.34822000000025
5.6699999999999235	399.17039000000347	-45.565999999999256	-45.565999999999754	398.89256000000023
5.679999999999923	398.7142400000035	-45.663999999999255	-45.66399999999975	398.43592000000024
5.689999999999923	398.25711000000354	-45.76199999999925	-45.76199999999975	397.9783000000002
5.699999999999923	397.7990000000035	-45.859999999999246	-45.85999999999975	397.5197000000002
5.709999999999923	397.33991000000356	-45.957999999999245	-45.95799999999975	397.0601200000002
5.7199999999999225	396.8798400000036	-46.055999999999244	-46.05599999999975	396.5995600000002
5.729999999999922	396.4187900000036	-46.15399999999924	-46.15399999999975	396.1380200000002
5.739999999999922	395.9567600000036	-46.25199999999924	-46.25199999999975	395.6755000000002
5.749999999999922	395.4937500000036	-46.34999999999924	-46.349999999999746	395.2120000000002
5.759999999999922	395.02976000000365	-46.44799999999923	-46.447999999999745	394.74752000000024
5.769999999999921	394.56479000000365	-46.54599999999923	-46.545999999999744	394.28206000000023
5.779999999999921	394.09884000000363	-46.64399999999923	-46.64399999999974	393.81562000000025
5.789999999999921	393.6319100000037	-46.74199999999923	-46.74199999999974	393.34820000000025
5.799999999999921	393.1640000000037	-46.83999999999923	-46.83999999999974	392.8798000000003
5.809999999999921	392.6951100000037	-46.93799999999923	-46.93799999999974	392.4104200000003
5.81999999999992	392.22524000000374	-47.03599999999923	-47.03599999999974	391.9400600000003
5.82999999999992	391.75439000000375	-47.13399999999922	-47.13399999999974	391.4687200000003
5.83999999999992	391.28256000000374	-47.23199999999922	-47.231999999999736	390.9964000000003
5.84999999999992	390.8097500000038	-47.32999999999922	-47.329999999999735	390.5231000000003
5.8599999999999195	390.3359600000038	-47.427999999999216	-47.427999999999734	390.04882000000026
5.869999999999919	389.86119000000383	-47.525999999999215	-47.52599999999973	389.57356000000027
5.879999999999919	389.3854400000039	-47.623999999999214	-47.62399999999973	389.09732000000025
5.889999999999919	388.90871000000385	-47.721999999999205	-47.72199999999973	388.62010000000026
5.899999999999919	388.43100000000385	-47.819999999999204	-47.81999999999973	388.14190000000025
5.909999999999918	387.9523100000039	-47.9179999999992	-47.91799999999973	387.66272000000026
5.919999999999918	387.47264000000393	-48.0159999999992	-48.01599999999973	387.18256000000025
5.929999999999918	386.99199000000397	-48.1139999999992	-48.11399999999973	386.70142000000027
5.939999999999918	386.51036000000397	-48.2119999999992	-48.211999999999726	386.21930000000026
5.949999999999918	386.02775000000395	-48.3099999999992	-48.309999999999725	385.7362000000003
5.959999999999917	385.544160000004	-48.40799999999919	-48.407999999999724	385.2521200000003
5.969999999999917	385.05959000000405	-48.50599999999919	-48.50599999999972	384.7670600000003
5.979999999999917	384.574040000004	-48.60399999999919	-48.60399999999972	384.2810200000003
5.989999999999917	384.08751000000404	-48.70199999999919	-48.70199999999972	383.7940000000003
5.9999999999999165	383.60000000000406	-48.79999999999919	-48.79999999999972	383.3060000000003
6.009999999999916	383.1115100000041	-48.897999999999186	-48.89799999999972	382.81702000000035
6.019999999999916	382.62204000000406	-48.995999999999185	-48.99599999999972	382.32706000000036
6.029999999999916	382.1315900000041	-49.09399999999918	-49.09399999999972	381.83612000000034
6.039999999999916	381.64016000000413	-49.191999999999176	-49.191999999999716	381.34420000000034
6.0499999999999154	381.1477500000042	-49.289999999999175	-49.289999999999715	380.8513000000003
6.059999999999915	380.65436000000415	-49.387999999999174	-49.387999999999714	380.35742000000033
6.069999999999915	380.1599900000042	-49.48599999999917	-49.48599999999971	379.8625600000003
6.079999999999915	379.6646400000042	-49.58399999999917	-49.58399999999971	379.3667200000003
6.089999999999915	379.1683100000042	-49.68199999999917	-49.68199999999971	378.8699000000003
6.099999999999914	378.67100000000426	-49.77999999999916	-49.77999999999971	378.37210000000033
6.109999999999914	378.17271000000426	-49.87799999999916	-49.87799999999971	377.8733200000003
6.119999999999914	377.6734400000043	-49.97599999999916	-49.97599999999971	377.37356000000034
6.129999999999914	377.1731900000043	-50.07399999999916	-50.07399999999971	376.87282000000033
6.1399999999999135	376.67196000000433	-50.17199999999916	-50.171999999999706	376.37110000000035
6.149999999999913	376.16975000000434	-50.26999999999916	-50.269999999999705	375.86840000000035
6.159999999999913	375.6665600000044	-50.36799999999915	-50.367999999999704	375.3647200000004
6.169999999999913	375.1623900000044	-50.46599999999915	-50.4659999999997	374.8600600000004
6.179999999999913	374.65724000000444	-50.56399999999915	-50.5639999999997	374.3544200000004
6.1899999999999125	374.15111000000445	-50.661999999999146	-50.6619999999997	373.8478000000004
6.199999999999912	373.64400000000444	-50.759999999999145	-50.7599999999997	373.3402000000004
6.209999999999912	373.13591000000446	-50.857999999999144	-50.8579999999997	372.8316200000004
6.219999999999912	372.6268400000045	-50.95599999999914	-50.9559999999997	372.32206000000036
6.229999999999912	372.1167900000045	-51.053999999999135	-51.0539999999997	371.81152000000037
6.239999999999911	371.6057600000045	-51.151999999999134	-51.151999999999695	371.30000000000035
6.249999999999911	371.09375000000455	-51.24999999999913	-51.249999999999694	370.78750000000036
6.259999999999911	370.58076000000455	-51.34799999999913	-51.34799999999969	370.27402000000035
6.269999999999911	370.0667900000046	-51.44599999999913	-51.44599999999969	369.75956000000036
6.2799999999999105	369.5518400000046	-51.54399999999913	-51.54399999999969	369.24412000000035
6.28999999999991	369.0359100000046	-51.64199999999913	-51.64199999999969	368.72770000000037
6.29999999999991	368.5190000000046	-51.73999999999912	-51.73999999999969	368.21030000000036
6.30999999999991	368.00111000000464	-51.83799999999912	-51.83799999999969	367.6919200000004
6.31999999999991	367.4822400000047	-51.93599999999912	-51.93599999999969	367.1725600000004
6.3299999999999095	366.9623900000047	-52.03399999999912	-52.033999999999686	366.6522200000004
